ZIP,latitude,longitude
96701,21.406053,-157.884952
96703,22.145578,-159.385681
96704,19.337269,-155.837622
96705,21.899532,-159.568546
96706,21.344782,-158.022298
96707,21.363106,-158.082206
96708,20.852389,-156.223562
96710,19.842479,-155.247512
96712,21.621367,-158.048011
96713,20.738821,-156.045046
96714,22.13125,-159.520972
96716,22.049275,-159.592419
96717,21.557794,-157.90534
96719,20.211256,-155.851858
96720,19.65981,-155.232473
96722,22.18838,-159.460894
96725,19.626488,-155.910336
96726,19.428177,-155.820972
96727,20.140643,-155.718535
96728,19.861176,-155.124957
96729,21.173558,-157.116812
96730,21.543149,-157.850481
96731,21.678003,-157.969164
96732,20.883783,-156.462641
96734,21.395084,-157.758188
96737,19.064517,-155.779672
96738,19.871941,-155.802163
96740,19.75682,-155.919968
96741,21.955529,-159.515191
96742,21.176668,-156.965748
96743,19.862159,-155.69887
96744,21.451733,-157.824227
96746,22.09374,-159.385199
96747,21.929919,-159.624441
96748,21.131173,-156.835237
96749,19.621282,-154.989735
96750,19.531923,-155.71482
96751,22.104959,-159.302576
96752,21.970965,-159.714507
96753,20.713745,-156.437867
96754,22.178915,-159.41229
96755,20.196906,-155.789908
96756,21.907071,-159.451665
96757,21.154453,-156.977379
96759,21.467423,-158.072424
96760,19.554764,-155.056113
96761,20.897296,-156.61354
96762,21.618531,-157.9439
96763,20.836482,-156.927377
96764,19.912071,-155.276904
96765,21.911192,-159.477967
96766,21.984839,-159.413673
96768,20.829164,-156.297222
96769,21.895874,-160.152456
96770,21.133617,-157.216932
96771,19.524822,-155.121921
96772,19.154515,-155.623214
96773,19.880162,-155.239161
96774,19.971897,-155.319507
96776,19.994067,-155.399601
96777,19.251948,-155.456769
96778,19.43894,-155.028176
96779,20.909974,-156.384337
96780,19.96976,-155.216166
96781,19.786152,-155.217704
96782,21.417374,-157.936867
96783,19.830827,-155.144159
96785,19.453729,-155.407546
96786,21.564059,-157.979307
96789,21.483875,-157.934284
96790,20.685453,-156.305307
96791,21.56364,-158.185065
96792,21.468625,-158.166906
96793,20.89556,-156.529838
96795,21.335013,-157.710924
96796,22.094055,-159.718749
96797,21.429621,-157.971877
96799,-14.223174,-169.517743
96813,21.316548,-157.845053
96814,21.293171,-157.848687
96815,21.273462,-157.822444
96816,21.290676,-157.788352
96817,21.355506,-157.821647
96818,21.343331,-157.941721
96819,21.347117,-157.877317
96821,21.311172,-157.75023
96822,21.320208,-157.810759
96825,21.294518,-157.688748
96826,21.291518,-157.826869
96850,21.303768,-157.862663
96853,21.333755,-157.938976
96857,21.486745,-158.0515
96859,21.36046,-157.890628
96860,21.355655,-157.941232
96863,21.448455,-157.762328